plot_type,crop_code,crop_name,season,yield,cost,price_mid,price_lo,price_hi
水浇地,21,西红柿,1,2400.0,2000.0,6.25,5.0,7.5
水浇地,22,茄子,1,6400.0,2000.0,5.5,5.0,6.0
水浇地,23,菠菜,1,2700.0,2300.0,5.75,4.8,6.7
水浇地,24,青椒,1,2400.0,1600.0,5.25,4.0,6.5
水浇地,25,菜花,1,3300.0,2400.0,5.5,5.0,6.0
水浇地,26,包菜,1,3700.0,2900.0,6.5,5.5,7.5
水浇地,27,油麦菜,1,4100.0,1600.0,5.0,4.0,6.0
水浇地,28,小青菜,1,3200.0,1600.0,5.75,5.0,6.5
水浇地,29,黄瓜,1,12000.0,2900.0,7.0,6.0,8.0
水浇地,30,生菜,1,4100.0,1600.0,5.25,4.5,6.0
水浇地,31,辣椒,1,1600.0,1000.0,7.25,6.0,8.5
水浇地,32,空心菜,1,10000.0,4100.0,4.5,3.0,6.0
水浇地,33,黄心菜,1,5000.0,2000.0,4.5,4.0,5.0
水浇地,34,芹菜,1,5500.0,900.0,4.0,3.2,4.8
水浇地,35,大白菜,2,5000.0,2000.0,2.5,2.0,3.0
水浇地,36,白萝卜,2,4000.0,500.0,2.5,2.0,3.0
水浇地,37,红萝卜,2,3000.0,500.0,3.25,2.5,4.0
