plot,crop_code,year,season,area
E1,19,2025,1,0.6
E1,39,2025,2,0.6
E2,18,2025,1,0.6
E2,39,2025,2,0.6
E3,18,2025,1,0.6
E3,38,2025,2,0.6
E4,18,2025,1,0.6
E4,39,2025,2,0.6
E5,20,2025,1,0.6
E5,40,2025,2,0.6
E6,18,2025,1,0.6
E6,39,2025,2,0.6
E7,17,2025,1,0.6
E7,38,2025,2,0.6
E8,17,2025,1,0.6
E8,39,2025,2,0.6
E9,21,2025,1,0.6
E9,39,2025,2,0.6
E10,25,2025,1,0.6
E10,39,2025,2,0.6
E11,18,2025,1,0.6
E11,38,2025,2,0.6
E12,18,2025,1,0.6
E12,39,2025,2,0.6
E13,18,2025,1,0.6
E13,40,2025,2,0.6
E14,17,2025,1,0.6
E14,39,2025,2,0.6
E15,17,2025,1,0.6
E15,39,2025,2,0.6
E16,19,2025,1,0.6
E16,39,2025,2,0.6
F1,20,2025,1,0.6
F1,26,2025,2,0.6
F2,20,2025,2,0.6
F2,27,2025,1,0.6
F3,22,2025,1,0.6
F3,28,2025,2,0.6
F4,22,2025,2,0.6
F4,29,2025,1,0.6
A1,2,2026,1,80.0
A2,2,2026,1,55.0
A3,11,2026,1,35.0
A4,7,2026,1,72.0
A5,5,2026,1,68.0
A6,3,2026,1,55.0
B1,1,2026,1,60.0
B2,1,2026,1,46.0
B3,10,2026,1,40.0
B4,6,2026,1,28.0
B5,4,2026,1,25.0
B6,2,2026,1,86.0
B7,2,2026,1,55.0
B8,11,2026,1,44.0
B9,7,2026,1,50.0
B10,5,2026,1,25.0
B11,3,2026,1,60.0
B12,1,2026,1,45.0
B13,12,2026,1,35.0
B14,8,2026,1,20.0
C1,6,2026,1,15.0
C2,4,2026,1,13.0
C3,2,2026,1,15.0
C4,2,2026,1,18.0
C5,9,2026,1,27.0
C6,7,2026,1,20.0
D1,21,2026,1,15.0
D1,35,2026,2,15.0
D2,27,2026,1,10.0
D2,35,2026,2,10.0
D3,20,2026,1,14.0
D3,35,2026,2,14.0
D4,24,2026,1,6.0
D4,35,2026,2,6.0
D5,17,2026,1,10.0
D5,35,2026,2,10.0
D6,23,2026,1,12.0
D6,35,2026,2,12.0
D7,18,2026,1,22.0
D7,36,2026,2,22.0
D8,20,2026,1,20.0
D8,35,2026,2,20.0
E1,26,2026,1,0.6
E1,40,2026,2,0.6
E2,17,2026,1,0.6
E2,39,2026,2,0.6
E3,32,2026,1,0.6
E3,39,2026,2,0.6
E4,23,2026,1,0.6
E4,39,2026,2,0.6
E5,18,2026,1,0.6
E5,40,2026,2,0.6
E6,18,2026,1,0.6
E6,38,2026,2,0.6
E7,20,2026,1,0.6
E7,40,2026,2,0.6
E8,17,2026,1,0.6
E8,39,2026,2,0.6
E9,17,2026,1,0.6
E9,39,2026,2,0.6
E10,19,2026,1,0.6
E10,39,2026,2,0.6
E11,21,2026,1,0.6
E11,39,2026,2,0.6
E12,25,2026,1,0.6
E12,38,2026,2,0.6
E13,29,2026,1,0.6
E13,38,2026,2,0.6
E14,31,2026,1,0.6
E14,39,2026,2,0.6
E15,22,2026,1,0.6
E15,39,2026,2,0.6
E16,17,2026,1,0.6
E16,38,2026,2,0.6
F1,23,2026,2,0.6
F1,29,2026,1,0.6
F2,17,2026,2,0.6
F2,24,2026,1,0.6
F3,19,2026,1,0.6
F3,25,2026,2,0.6
F4,19,2026,2,0.6
F4,26,2026,1,0.6
A1,9,2027,1,80.0
A2,7,2027,1,55.0
A3,5,2027,1,35.0
A4,1,2027,1,72.0
A5,1,2027,1,68.0
A6,10,2027,1,55.0
B1,8,2027,1,60.0
B2,6,2027,1,46.0
B3,2,2027,1,40.0
B4,2,2027,1,28.0
B5,11,2027,1,25.0
B6,9,2027,1,86.0
B7,7,2027,1,55.0
B8,3,2027,1,44.0
B9,1,2027,1,50.0
B10,1,2027,1,25.0
B11,10,2027,1,60.0
B12,8,2027,1,45.0
B13,4,2027,1,35.0
B14,2,2027,1,20.0
C1,2,2027,1,15.0
C2,11,2027,1,13.0
C3,9,2027,1,15.0
C4,7,2027,1,18.0
C5,3,2027,1,27.0
C6,1,2027,1,20.0
D1,18,2027,1,15.0
D1,35,2027,2,15.0
D2,18,2027,1,10.0
D2,37,2027,2,10.0
D3,25,2027,1,14.0
D3,36,2027,2,14.0
D4,18,2027,1,6.0
D4,36,2027,2,6.0
D5,24,2027,1,10.0
D5,37,2027,2,10.0
D6,17,2027,1,12.0
D6,35,2027,2,12.0
D7,21,2027,1,22.0
D7,35,2027,2,22.0
D8,18,2027,1,20.0
D8,35,2027,2,20.0
E1,20,2027,1,0.6
E1,39,2027,2,0.6
E2,24,2027,1,0.6
E2,39,2027,2,0.6
E3,17,2027,1,0.6
E3,40,2027,2,0.6
E4,17,2027,1,0.6
E4,40,2027,2,0.6
E5,21,2027,1,0.6
E5,39,2027,2,0.6
E6,25,2027,1,0.6
E6,39,2027,2,0.6
E7,18,2027,1,0.6
E7,39,2027,2,0.6
E8,18,2027,1,0.6
E8,39,2027,2,0.6
E9,22,2027,1,0.6
E9,40,2027,2,0.6
E10,24,2027,1,0.6
E10,39,2027,2,0.6
E11,17,2027,1,0.6
E11,39,2027,2,0.6
E12,19,2027,1,0.6
E12,38,2027,2,0.6
E13,34,2027,1,0.6
E13,38,2027,2,0.6
E14,25,2027,1,0.6
E14,39,2027,2,0.6
E15,18,2027,1,0.6
E15,39,2027,2,0.6
E16,20,2027,1,0.6
E16,38,2027,2,0.6
F1,19,2027,2,0.6
F1,26,2027,1,0.6
F2,21,2027,1,0.6
F2,27,2027,2,0.6
F3,28,2027,1,0.6
F3,34,2027,2,0.6
F4,23,2027,1,0.6
F4,29,2027,2,0.6
A1,3,2028,1,80.0
A2,1,2028,1,55.0
A3,10,2028,1,35.0
A4,8,2028,1,72.0
A5,6,2028,1,68.0
A6,4,2028,1,55.0
B1,2,2028,1,60.0
B2,11,2028,1,46.0
B3,9,2028,1,40.0
B4,7,2028,1,28.0
B5,5,2028,1,25.0
B6,3,2028,1,86.0
B7,1,2028,1,55.0
B8,10,2028,1,44.0
B9,8,2028,1,50.0
B10,6,2028,1,25.0
B11,4,2028,1,60.0
B12,2,2028,1,45.0
B13,11,2028,1,35.0
B14,9,2028,1,20.0
C1,7,2028,1,15.0
C2,5,2028,1,13.0
C3,3,2028,1,15.0
C4,1,2028,1,18.0
C5,10,2028,1,27.0
C6,8,2028,1,20.0
D1,22,2028,1,15.0
D1,35,2028,2,15.0
D2,17,2028,1,10.0
D2,35,2028,2,10.0
D3,19,2028,1,14.0
D3,35,2028,2,14.0
D4,25,2028,1,6.0
D4,35,2028,2,6.0
D5,18,2028,1,10.0
D5,37,2028,2,10.0
D6,22,2028,1,12.0
D6,35,2028,2,12.0
D7,17,2028,1,22.0
D7,36,2028,2,22.0
D8,21,2028,1,20.0
D8,35,2028,2,20.0
E1,18,2028,1,0.6
E1,40,2028,2,0.6
E2,18,2028,1,0.6
E2,39,2028,2,0.6
E3,20,2028,1,0.6
E3,38,2028,2,0.6
E4,24,2028,1,0.6
E4,39,2028,2,0.6
E5,18,2028,1,0.6
E5,39,2028,2,0.6
E6,17,2028,1,0.6
E6,40,2028,2,0.6
E7,21,2028,1,0.6
E7,39,2028,2,0.6
E8,17,2028,1,0.6
E8,41,2028,2,0.6
E9,18,2028,1,0.6
E9,38,2028,2,0.6
E10,18,2028,1,0.6
E10,39,2028,2,0.6
E11,22,2028,1,0.6
E11,39,2028,2,0.6
E12,17,2028,1,0.6
E12,39,2028,2,0.6
E13,17,2028,1,0.6
E13,39,2028,2,0.6
E14,19,2028,1,0.6
E14,38,2028,2,0.6
E15,23,2028,1,0.6
E15,39,2028,2,0.6
E16,27,2028,1,0.6
E16,39,2028,2,0.6
F1,23,2028,1,0.6
F1,29,2028,2,0.6
F2,18,2028,1,0.6
F2,24,2028,2,0.6
F3,18,2028,2,0.6
F3,25,2028,1,0.6
F4,20,2028,1,0.6
F4,26,2028,2,0.6
A1,8,2029,1,80.0
A2,6,2029,1,55.0
A3,4,2029,1,35.0
A4,2,2029,1,72.0
A5,13,2029,1,68.0
A6,9,2029,1,55.0
B1,7,2029,1,60.0
B2,5,2029,1,46.0
B3,3,2029,1,40.0
B4,1,2029,1,28.0
B5,12,2029,1,25.0
B6,8,2029,1,86.0
B7,6,2029,1,55.0
B8,4,2029,1,44.0
B9,2,2029,1,50.0
B10,13,2029,1,25.0
B11,9,2029,1,60.0
B12,7,2029,1,45.0
B13,5,2029,1,35.0
B14,3,2029,1,20.0
C1,1,2029,1,15.0
C2,10,2029,1,13.0
C3,8,2029,1,15.0
C4,6,2029,1,18.0
C5,4,2029,1,27.0
C6,2,2029,1,20.0
D1,18,2029,1,15.0
D1,37,2029,2,15.0
D2,20,2029,1,10.0
D2,36,2029,2,10.0
D3,18,2029,1,14.0
D3,36,2029,2,14.0
D4,19,2029,1,6.0
D4,36,2029,2,6.0
D5,17,2029,1,10.0
D5,37,2029,2,10.0
D6,18,2029,1,12.0
D6,36,2029,2,12.0
D7,22,2029,1,22.0
D7,35,2029,2,22.0
D8,17,2029,1,20.0
D8,35,2029,2,20.0
E1,32,2029,1,0.6
E1,40,2029,2,0.6
E2,23,2029,1,0.6
E2,38,2029,2,0.6
E3,18,2029,1,0.6
E3,39,2029,2,0.6
E4,18,2029,1,0.6
E4,39,2029,2,0.6
E5,20,2029,1,0.6
E5,39,2029,2,0.6
E6,24,2029,1,0.6
E6,39,2029,2,0.6
E7,17,2029,1,0.6
E7,39,2029,2,0.6
E8,30,2029,1,0.6
E8,39,2029,2,0.6
E9,21,2029,1,0.6
E9,40,2029,2,0.6
E10,25,2029,1,0.6
E10,39,2029,2,0.6
E11,18,2029,1,0.6
E11,39,2029,2,0.6
E12,31,2029,1,0.6
E12,39,2029,2,0.6
E13,22,2029,1,0.6
E13,38,2029,2,0.6
E14,26,2029,1,0.6
E14,38,2029,2,0.6
E15,17,2029,1,0.6
E15,40,2029,2,0.6
E16,19,2029,1,0.6
E16,39,2029,2,0.6
F1,20,2029,1,0.6
F1,26,2029,2,0.6
F2,27,2029,1,0.6
F2,33,2029,2,0.6
F3,22,2029,1,0.6
F3,28,2029,2,0.6
F4,17,2029,1,0.6
F4,23,2029,2,0.6
A1,2,2030,1,80.0
A2,13,2030,1,55.0
A3,11,2030,1,35.0
A4,9,2030,1,72.0
A5,2,2030,1,68.0
A6,3,2030,1,55.0
B1,1,2030,1,60.0
B2,12,2030,1,46.0
B3,10,2030,1,40.0
B4,8,2030,1,28.0
B5,4,2030,1,25.0
B6,2,2030,1,86.0
B7,13,2030,1,55.0
B8,11,2030,1,44.0
B9,9,2030,1,50.0
B10,5,2030,1,25.0
B11,3,2030,1,60.0
B12,1,2030,1,45.0
B13,12,2030,1,35.0
B14,10,2030,1,20.0
C1,6,2030,1,15.0
C2,4,2030,1,13.0
C3,2,2030,1,15.0
C4,13,2030,1,18.0
C5,11,2030,1,27.0
C6,9,2030,1,20.0
D1,21,2030,1,15.0
D1,35,2030,2,15.0
D2,27,2030,1,10.0
D2,35,2030,2,10.0
D3,20,2030,1,14.0
D3,35,2030,2,14.0
D4,26,2030,1,6.0
D4,35,2030,2,6.0
D5,17,2030,1,10.0
D5,35,2030,2,10.0
D6,23,2030,1,12.0
D6,35,2030,2,12.0
D7,29,2030,1,22.0
D7,35,2030,2,22.0
D8,33,2030,1,20.0
D8,36,2030,2,20.0
E1,26,2030,1,0.6
E1,38,2030,2,0.6
E2,17,2030,1,0.6
E2,39,2030,2,0.6
E3,21,2030,1,0.6
E3,39,2030,2,0.6
E4,23,2030,1,0.6
E4,39,2030,2,0.6
E5,27,2030,1,0.6
E5,38,2030,2,0.6
E6,18,2030,1,0.6
E6,39,2030,2,0.6
E7,22,2030,1,0.6
E7,40,2030,2,0.6
E8,24,2030,1,0.6
E8,39,2030,2,0.6
E9,28,2030,1,0.6
E9,40,2030,2,0.6
E10,19,2030,1,0.6
E10,39,2030,2,0.6
E11,34,2030,1,0.6
E11,40,2030,2,0.6
E12,25,2030,1,0.6
E12,39,2030,2,0.6
E13,29,2030,1,0.6
E13,39,2030,2,0.6
E14,20,2030,1,0.6
E14,39,2030,2,0.6
E15,22,2030,1,0.6
E15,38,2030,2,0.6
E16,26,2030,1,0.6
E16,38,2030,2,0.6
F1,17,2030,1,0.6
F1,23,2030,2,0.6
F2,17,2030,2,0.6
F2,24,2030,1,0.6
F3,19,2030,1,0.6
F3,25,2030,2,0.6
F4,26,2030,1,0.6
F4,32,2030,2,0.6
